,user,job,label
19,"Embedding Specialist Text Preprocessing, TensorFlow, BERT, NLP Highly skilled Embedding Specialist committed to excellence in Text Preprocessing, TensorFlow, BERT, NLP.","Senior Embedded Software Engineer embedded systems,C++,C,Software Engineering,embedded solutions,Scrum Development,Agile Development,Python",1
20,"Marketing Content Marketing, Brand Strategy, SEO, Social Media Management, Campaign Management, Market Research, Email Marketing, PPC An enthusiastic Marketing passionate about learning and growing in the tech industry.","Aws Data Engineer with Pyspark/Python Pyspark,AWS,Python,Data",0
21,"Python Developer Pandas, Data Analysis, Machine Learning, NumPy Experienced Python Developer with a proven track record in delivering high-quality solutions.","Brand Marketing Executive Brand Marketing,Public Relations,Corporate Communication,Brand Communication,Marketing Communication,Media Relations,Press Release,Strategic Communication",0
22,"Software Developer C++, Django, Python, Java, React, Git, SQL Creative Software Developer who leverages C++, Django, Python, Java, React, Git, SQL to produce effective results.","Software Developer PHP,Java,C++,Python,Development,Software development,Software",1
23,"Embedding Specialist Python, Deep Learning, Data Science, Sentence Transformers, Text Preprocessing, TensorFlow, NLP, Embeddings Embedding Specialist specialized in Cloud Computing, with a focus on creating impactful solutions.","Senior Embedded Software Engineer Embedded Software,C++,C Programming Language,AWS,Python,C,Embedded systems,Languages",1
24,"Graphic Designer CorelDRAW, UI/UX Design, Illustrator Graphic Designer with solid background in CorelDRAW, UI/UX Design, Illustrator and extensive experience in Cloud Computing.","Graphic Designer Corel Draw,Illustrator,Photoshop,Graphic Designing,Graphics,Draw,Corel,Design",1
25,"Backend Developer Java, Python, Ruby, RESTful APIs, PHP, Flask, SQL Backend Developer with solid background in Java, Python, Ruby, RESTful APIs, PHP, Flask, SQL and extensive experience in Web Development.","Brand Marketing Executive Brand Marketing,Brand Communication,Brand Positioning,Marketing Communication,Positioning,Branding,Marketing,Brand",0
26,"Graphic Designer UI/UX Design, Web Design, Illustrator, InDesign Dedicated professional with strong expertise in UI/UX Design, Web Design, Illustrator, InDesign and a passion for Embedded Systems.","AWS cloud data engineer | 6-8 Yrs | Kolkata Step Function,AWS Glue,Lambda,Snowflake,ETL,Cloud,STP,Lambda Expressions",0
27,"Python Developer REST APIs, Data Analysis, NumPy, Django, Git Highly skilled Python Developer committed to excellence in REST APIs, Data Analysis, NumPy, Django, Git.","Brand Marketing Executive Brand Marketing,Brand Communication,Brand Positioning,Marketing Communication,Positioning,Branding,Marketing,Brand",0
28,"Graphic Designer Typography, Sketch, InDesign Creative Graphic Designer who leverages Typography, Sketch, InDesign to produce effective results.","Free AWS Seminar class on Wednesday @ 5:30 pm IST Pega,AWS,Mainframes,Class,PM,Free",0
29,"Java Developer SQL, Hibernate, Git, Java, Multithreading Goal-oriented Java Developer with expertise in SQL, Hibernate, Git, Java, Multithreading.","Influencer Marketing Associate - |  WFO | Campaign Management,Social Media Marketing,B2B Marketing,campaigns,Wfo,Media,Marketing,Influencing",0
30,"Marketing SEO, Social Media Management, Campaign Management, Content Marketing Marketing with solid background in SEO, Social Media Management, Campaign Management, Content Marketing and extensive experience in NLP.","Marketing Executive Marketing Management,Online Branding,Online Advertising,Internet Marketing,Marketing Campaigns,Digital Marketing,Social Media Marketing,Marketing Communication",1
31,"Marketing Brand Strategy, Digital Marketing, Google Analytics, Social Media Management Creative Marketing who leverages Brand Strategy, Digital Marketing, Google Analytics, Social Media Management to produce effective results.",Trainee Embedded Engineer ,0
32,"Marketing Google Analytics, Digital Marketing, Email Marketing, SEO, Campaign Management, Social Media Management, Content Marketing, Brand Strategy Creative Marketing who leverages Google Analytics, Digital Marketing, Email Marketing, SEO, Campaign Management, Social Media Management, Content Marketing, Brand Strategy to produce effective results.",Embedded System Engineer Intern ,0
33,"Embedding Specialist Sentence Transformers, NLP, Python Goal-oriented Embedding Specialist with expertise in Sentence Transformers, NLP, Python.","Sr Java Developer-Contract-Remote Java,Aws Cloud Native,Mockito,Microservices,Jenkins,Maven,JUnit,Spring Boot",0
34,"Test Engineer Selenium, Cypress, JUnit, API Testing, Java, TestNG, Postman Experienced Test Engineer with a proven track record in delivering high-quality solutions.","Brand Marketing Executive Brand Marketing,Brand Communication,Brand Positioning,Marketing Communication,Positioning,Branding,Marketing,Brand",0
35,"Content Creator Video Editing, Email Marketing, SEO, Content Writing Experienced Content Creator with a proven track record in delivering high-quality solutions.","Content Creator digital marketing,content editing,photoshop,media,advertising,research,content creation,editing",1
36,"Test Engineer Selenium, Postman, LoadRunner, TestNG Highly skilled Test Engineer committed to excellence in Selenium, Postman, LoadRunner, TestNG.","ASP.NET Core MVC C# Developer Asp.Net Core Mvc,C#,LINQ,Web API 2.0,ASP.Net,Azure App Service,Ms Azure,ASP.Net MVC",0
37,"Marketing Market Research, PPC, Google Analytics, SEO Marketing with solid background in Market Research, PPC, Google Analytics, SEO and extensive experience in Embedded Systems.","Marketing Executive PPC,Email marketing,Web analytics,Online marketing,Analytical,Social media,Market research,Brand awareness",1
38,"Software Developer Java, SQL, Flask, Django, React An enthusiastic Software Developer passionate about learning and growing in the tech industry.","Marketing Executive Promotional Campaigns,Retail Marketing,Marketing Collaterals,Digital Campaigns,Branding,Campaigns,Retail,Digital",0
39,"Cloud Engineer Networking, Google Cloud, AWS Creative Cloud Engineer who leverages Networking, Google Cloud, AWS to produce effective results.","Walk-in Drive Java Developer -26th Oct 24 Sat @RMZ-Porur Java,Hibernate,Spring Boot,Angular,Kafka,Microservices,Spring,Drives",0
40,"Test Engineer LoadRunner, JUnit, API Testing, TestNG Creative Test Engineer who leverages LoadRunner, JUnit, API Testing, TestNG to produce effective results.","Content Creator Social,Social Media Content,Social media,Content creation,Media,Content",0
41,"Java Developer Multithreading, Java, Git, Maven, REST APIs, Hibernate, SQL, Microservices Java Developer specialized in Cloud Computing, with a focus on creating impactful solutions.","Java Developer (5-7 Years) Java,Rest,Multithreading,GIT,Microservices,object design,database,Design",1
42,"Graphic Designer InDesign, Sketch, Canva, Illustrator, Typography Goal-oriented Graphic Designer with expertise in InDesign, Sketch, Canva, Illustrator, Typography.","AWS cloud data engineer | 6-8 Yrs | Kolkata Step Function,AWS Glue,Lambda,Snowflake,ETL,Cloud,STP,Lambda Expressions",0
43,"Java Developer Hibernate, Git, Multithreading Goal-oriented Java Developer with expertise in Hibernate, Git, Multithreading.","Java Developer Multithreading,Banking Sector,Memory Management,Collections,Core Java Development,Design Patterns,OOPS,Java Development",1
44,"Embedding Specialist Sentence Transformers, Deep Learning, BERT An enthusiastic Embedding Specialist passionate about learning and growing in the tech industry.","Walk-in Drive Java Developer -26th Oct 24 Sat @RMZ-Porur Java,Hibernate,Spring Boot,Angular,Kafka,Microservices,Spring,Drives",0
45,"Content Creator Email Marketing, Content Writing, SEO, Blogging, Video Editing, Branding, Graphic Design, Social Media Marketing An enthusiastic Content Creator passionate about learning and growing in the tech industry.","Content Creator & Writer Content Creation,Creative Writing,Social Media Content Marketing,Graphic Designing,SEO Writing,Project Management,Proof Reading,Social media",1
46,"Test Engineer JUnit, TestNG, Python, Java Test Engineer with solid background in JUnit, TestNG, Python, Java and extensive experience in NLP.","Test Engineer job opening  For Multiple testing skills Automation Testing,Performance Testing,Python Testing,API Testing,Mobile Testing,Appium,Selenium Automation,DWH Testing",1
47,"Software Developer Node.js, React, C++, Python, Java Innovative Software Developer focused on pushing the boundaries in Machine Learning.","Marketing Executive For Buddha Cancer Blood Centre Marketing Strategy,Communication Skills,Social Media Proficiency,Team Collaboration,Event Management,Community Engagement,Engagement,Team",0
48,"Embedding Specialist Deep Learning, Python, PyTorch An enthusiastic Embedding Specialist passionate about learning and growing in the tech industry.","Java Developer Java,Hibernate,Multithreading,Data Structures,Spring Boot,J2EE,Collections,Data",0
49,"Graphic Designer Typography, Adobe Photoshop, Web Design, CorelDRAW Innovative Graphic Designer focused on pushing the boundaries in Embedded Systems.","Graphic Designer ,image editing,posters,corel drawflyers,aftereffects,Design,Corel,Editing",1
50,"Python Developer Git, Data Analysis, Python, Flask, Django, SQL, Pandas Innovative Python Developer focused on pushing the boundaries in Web Development.","Python Software Developer Django,Flask,Pandas,Software,Python,Development,Software development",1
51,"Java Developer Hibernate, Multithreading, Spring, Maven, Java Creative Java Developer who leverages Hibernate, Multithreading, Spring, Maven, Java to produce effective results.","Java Developer. Hibernate,Java Development,Spring Boot,Microservices,Spring,Development,Java,Boot",1
52,"Embedding Specialist NLP, Python, Embeddings, Sentence Transformers, BERT, Data Science, PyTorch, TensorFlow Dedicated professional with strong expertise in NLP, Python, Embeddings, Sentence Transformers, BERT, Data Science, PyTorch, TensorFlow and a passion for Cloud Computing.","Java Full Stack + Angular  Developer Spring Boot,Java Fullstack,Angular,Microservices,Angularjs,Hibernate,Spring Mvc",0
53,"Test Engineer JUnit, TestNG, API Testing, Cypress Highly skilled Test Engineer committed to excellence in JUnit, TestNG, API Testing, Cypress.","Content Creator Social,Social Media Content,Social media,Content creation,Media,Content",0
54,"Cloud Engineer AWS, Linux, CI/CD, Terraform, Docker, Google Cloud, Kubernetes A self-motivated Cloud Engineer who enjoys problem-solving and innovation.","Senior Cloud Engineer DevOps,Linux,Networking,SQL,Kubernetes,Cloud architecture,Cloud infrastructure,Docker",1
55,"Python Developer Python, NumPy, REST APIs A self-motivated Python Developer who enjoys problem-solving and innovation.","Python Developer Python,Linux,Django,Pandas,Javascript,Python Development,Cheetah,Numpy",1
56,"Test Engineer Python, JUnit, Cypress, JUnit, LoadRunner, Postman, API Testing Test Engineer specialized in NLP, with a focus on creating impactful solutions.","Content Creator Social,Social Media Content,Social media,Content creation,Media,Content",0
57,"Embedding Specialist PyTorch, Sentence Transformers, Text Preprocessing, Deep Learning, NLP, Embeddings, Data Science Embedding Specialist with solid background in PyTorch, Sentence Transformers, Text Preprocessing, Deep Learning, NLP, Embeddings, Data Science and extensive experience in Embedded Systems.","Embedded Engineer at Automotive Service contracts,Networking products,Automation,Payroll,Siemens,Instrumentation,Customer complaints,digital transformation",1
58,"Test Engineer Postman, JUnit, TestNG, Cypress, Python, LoadRunner, API Testing, JUnit An enthusiastic Test Engineer passionate about learning and growing in the tech industry.","Content Creator Social,Social Media Content,Social media,Content creation,Media,Content",0
59,"Software Developer JavaScript, Git, Java, Django, Node.js An enthusiastic Software Developer passionate about learning and growing in the tech industry.","Marketing Executive Marketing Strategy,Marketing Communication,Brand Marketing,Brand Development,Marketing Planning,Brand Promotion,Marketing Campaigns,Marketing Activities",0
60,"Cloud Engineer Linux, CI/CD, Terraform, Networking Cloud Engineer with solid background in Linux, CI/CD, Terraform, Networking and extensive experience in Embedded Systems.","Executive Marketing Communication Skills,Presentation Skills,Corporate Communication,Public Speaking,Marketing,Corporate,Presentation,Public",0
61,"Java Developer Java, Multithreading, Git, SQL Java Developer with solid background in Java, Multithreading, Git, SQL and extensive experience in Machine Learning.","Java Full-Stack Developer Front end,Version control,GIT,Coding,Postgresql,HTTP,Agile methodology,JIRA",1
62,"Embedding Specialist TensorFlow, NLP, Data Science An enthusiastic Embedding Specialist passionate about learning and growing in the tech industry.","Software Engineer (Embedded Systems) Embedded C,ai,Embedded Programming,Image Processing,procurement,Tensorflow,Ideation,Raspberry Pi",1
63,"Test Engineer Java, Postman, Python, API Testing, TestNG Innovative Test Engineer focused on pushing the boundaries in Embedded Systems.","Test Engineer job opening  For Multiple testing skills Automation Testing,Performance Testing,Python Testing,API Testing,Mobile Testing,Appium,Selenium Automation,DWH Testing",1
64,"Marketing PPC, Brand Strategy, Social Media Management, Digital Marketing, Email Marketing Marketing with solid background in PPC, Brand Strategy, Social Media Management, Digital Marketing, Email Marketing and extensive experience in NLP.","Online Marketing Executive digital marketing,email marketing,ppc,market research,advertising,digital advertising,marketing,online marketing",1
65,"Embedding Specialist Embeddings, Text Preprocessing, Python, PyTorch, TensorFlow, NLP, Sentence Transformers, Data Science Highly skilled Embedding Specialist committed to excellence in Embeddings, Text Preprocessing, Python, PyTorch, TensorFlow, NLP, Sentence Transformers, Data Science.","Software Engineer Embedded Research Engineer matlab,python,embedded software,signal processing,scilab,signalling,coordination,communication skills",1
66,"Java Developer JUnit, Git, Multithreading, Java, Maven Innovative Java Developer focused on pushing the boundaries in Embedded Systems.","Java Developer Java,Spring Boot,Microservices,Junit,Kafka,CI/CD,J2EE development,MongoDB",1
67,"Marketing Campaign Management, PPC, Social Media Management, SEO, Google Analytics Creative Marketing who leverages Campaign Management, PPC, Social Media Management, SEO, Google Analytics to produce effective results.",Trainee Embedded Engineer ,0
68,"Marketing Google Analytics, Market Research, Email Marketing, SEO, Campaign Management Goal-oriented Marketing with expertise in Google Analytics, Market Research, Email Marketing, SEO, Campaign Management.","Staff Engineer- Embedded C++,Linux,OOPS,Embedded systems",0
69,"Python Developer REST APIs, Flask, Python, NumPy Highly skilled Python Developer committed to excellence in REST APIs, Flask, Python, NumPy.","Trade Marketing Executive Brand Activation,Trade Marketing,Brand Campaigns,Retail Marketing,Promotions,Campaigns,Branding,Brand",0
70,"Software Developer SQL, JavaScript, Django, React Goal-oriented Software Developer with expertise in SQL, JavaScript, Django, React.","Brand Marketing Executive Brand Marketing,Brand Communication,Brand Positioning,Marketing Communication,Positioning,Branding,Marketing,Brand",0
71,"Test Engineer TestNG, Postman, Java, Python, Selenium Experienced Test Engineer with a proven track record in delivering high-quality solutions.","Test Engineer job opening  For Multiple testing skills Automation Testing,Performance Testing,Python Testing,API Testing,Mobile Testing,Appium,Selenium Automation,DWH Testing",1
72,"Embedding Specialist Text Preprocessing, Deep Learning, Sentence Transformers, Embeddings Dedicated professional with strong expertise in Text Preprocessing, Deep Learning, Sentence Transformers, Embeddings and a passion for Web Development.","Embedded Software Engineer Embedded,CANalyzer,Debugging,CANoe,TRACE32,HMI development,C programming,TFT development",1
73,"Graphic Designer Adobe Photoshop, Figma, Sketch, Illustrator, Canva Graphic Designer specialized in Machine Learning, with a focus on creating impactful solutions.","Aws Data Engineer with Pyspark/Python Pyspark,AWS,Python,Data",0
74,"Software Developer Django, Node.js, Flask, Java, JavaScript, React, SQL, C++ Highly skilled Software Developer committed to excellence in Django, Node.js, Flask, Java, JavaScript, React, SQL, C++.","Influencer Marketing Executive Influencer Marketing,Negotiation,Marketing Campaigns,Campaigns,Marketing,Influencing",0
75,"Backend Developer Flask, RESTful APIs, MongoDB, Java, PHP, Python, SQL, Django A self-motivated Backend Developer who enjoys problem-solving and innovation.","Brand Marketing Executive Brand Marketing,Public Relations,Corporate Communication,Brand Communication,Marketing Communication,Media Relations,Press Release,Strategic Communication",0
76,"Cloud Engineer Azure, CI/CD, Linux, AWS, Google Cloud, Docker, Cloud Security Goal-oriented Cloud Engineer with expertise in Azure, CI/CD, Linux, AWS, Google Cloud, Docker, Cloud Security.","Cloud Platform Engineer microsoft azure,docker,cloud architecture,data modeling,aws,kubernetes,cloud application development,python",1
77,"Python Developer Flask, REST APIs, Git, Data Analysis A self-motivated Python Developer who enjoys problem-solving and innovation.","Senior Python Developer Python,CSS,Fast APIs,Django,HTML5,CI/CD,Front-end technologies,Flask",1
78,"Software Developer React, Git, Flask, Django Innovative Software Developer focused on pushing the boundaries in Machine Learning.","Marketing Executive Communication Skills,Real Estate,Presentable,Enquiry Management,Property Sales,Convincing Power,Real Estate Sales,Marketing",0
79,"Backend Developer RESTful APIs, Python, MongoDB, SQL, Java An enthusiastic Backend Developer passionate about learning and growing in the tech industry.","Backend Developer swagger,java,typescript,software development,relational databases,css,software quality,spring",1
80,"Software Developer React, JavaScript, SQL, Python, Git, Django, Java Innovative Software Developer focused on pushing the boundaries in Web Development.","AWS cloud data engineer | 6-8 Yrs | Kolkata Step Function,AWS Glue,Lambda,Snowflake,ETL,Cloud,STP,Lambda Expressions",0
81,"Marketing Campaign Management, SEO, PPC, Digital Marketing, Market Research A self-motivated Marketing who enjoys problem-solving and innovation.","Embedded C++ & Linux - Engineer c++,python,c,gdb,stl,embedded linux,rs232,automotive infotainment",0
82,"Software Developer Git, Python, Node.js Software Developer with solid background in Git, Python, Node.js and extensive experience in Embedded Systems.","Marketing Manager Marketing Activities,Digital Marketing,Marketing Strategy,Brand Marketing,Digital Advertising,Marketing Budget,Digital Campaigns,Marketing Campaigns",0
83,"Marketing Campaign Management, Digital Marketing, Brand Strategy, Content Marketing, SEO Dedicated professional with strong expertise in Campaign Management, Digital Marketing, Brand Strategy, Content Marketing, SEO and a passion for Embedded Systems.","Marketing Executive Digital Marketing,Brand Management,Content Writing,Digital,Marketing,Management,Brand,Branding",1
84,"Software Developer Django, Git, Flask Goal-oriented Software Developer with expertise in Django, Git, Flask.","Brand Marketing Executive Brand Marketing,Brand Communication,Brand Positioning,Marketing Communication,Positioning,Branding,Marketing,Brand",0
85,"Python Developer Machine Learning, REST APIs, Git, Django, SQL, Flask, Python A self-motivated Python Developer who enjoys problem-solving and innovation.","Python Developer Python,Django,Machine Learning,Flask,Open Systems,Python Development,Open,Development",1
86,"Marketing Market Research, PPC, Digital Marketing, Content Marketing Dedicated professional with strong expertise in Market Research, PPC, Digital Marketing, Content Marketing and a passion for Machine Learning.","Trainee - Digital Marketing Marketing,email marketing,competitor analysis,search engine optimization,campaigns,social media marketing,google analytics,market research",1
87,"Content Creator Email Marketing, Content Writing, SEO, Blogging, Video Editing, Branding, Graphic Design, Social Media Marketing An enthusiastic Content Creator passionate about learning and growing in the tech industry.","Content Creator & Writer Content Creation,Creative Writing,Social Media Content Marketing,Graphic Designing,SEO Writing,Project Management,Proof Reading,Social media",1
88,"Graphic Designer Illustrator, Canva, Typography Graphic Designer specialized in NLP, with a focus on creating impactful solutions.","Urgent Opening For Python Developer Python,django,rest api,flask,API,Rest,Development",0
89,"Cloud Engineer Cloud Security, Terraform, Linux, Google Cloud, Azure, Networking, CI/CD, AWS Innovative Cloud Engineer focused on pushing the boundaries in Web Development.","Sr. Cloud Engineer - AWS Cloud computing,Networking,Cloud,Back office,Support services,Outsourcing,Project delivery,AWS",1
90,"Graphic Designer UI/UX Design, Canva, Sketch, Web Design, InDesign, Adobe Photoshop, CorelDRAW Dedicated professional with strong expertise in UI/UX Design, Canva, Sketch, Web Design, InDesign, Adobe Photoshop, CorelDRAW and a passion for Cloud Computing.","Marketing Manager Marketing Strategy,Marketing Management,Marketing Campaigns,Digital Marketing,Marketing Communication,Brand Marketing,Offline Marketing,Marketing Planning",0
91,"Marketing Content Marketing, Market Research, PPC Goal-oriented Marketing with expertise in Content Marketing, Market Research, PPC.","Brand & Content Marketing Executive Social media marketing,Content management,Email marketing,Project management,Analytical,Social media,Wordpress,Market research",1
92,"Java Developer SQL, Spring, Multithreading, Java Goal-oriented Java Developer with expertise in SQL, Spring, Multithreading, Java.","Java Developer Java,Java Development,Spring Boot,Microservices,RDBMS,J2Ee,Backend Development,SQL",1
93,"Java Developer SQL, Java, Maven, Multithreading, Hibernate Creative Java Developer who leverages SQL, Java, Maven, Multithreading, Hibernate to produce effective results.","99acre.com is hiring For Graphic Designer Graphic Designer,Video Editing,Posters,Print Ads,Banners,Graphic Designing,Photoshop,Logo Design",0
94,"Graphic Designer Adobe Photoshop, Web Design, InDesign, Figma, Illustrator, UI/UX Design, Canva, CorelDRAW Highly skilled Graphic Designer committed to excellence in Adobe Photoshop, Web Design, InDesign, Figma, Illustrator, UI/UX Design, Canva, CorelDRAW.","Graphic Designer Graphic Designing,Illustrator,Premiere Pro,Flutter,Photoshop,Indesign,Graphics,Design",1
95,"Content Creator Blogging, Video Editing, Email Marketing, Graphic Design Creative Content Creator who leverages Blogging, Video Editing, Email Marketing, Graphic Design to produce effective results.","Content Creator & Writer Content Creation,Creative Writing,Social Media Content Marketing,Graphic Designing,SEO Writing,Project Management,Proof Reading,Social media",1
96,"Graphic Designer Illustrator, UI/UX Design, Adobe Photoshop, Canva, CorelDRAW, InDesign, Typography A self-motivated Graphic Designer who enjoys problem-solving and innovation.","Graphic Designer Illustrator,Photoshop,Graphics,Design,Graphic designing",1
97,"Backend Developer Flask, RESTful APIs, MongoDB, Java, PHP, Python, SQL, Django A self-motivated Backend Developer who enjoys problem-solving and innovation.","Backend Developer Django,Python Development,restapi,Python,Backend,Development,Rest,Backend Development",1
98,"Backend Developer PHP, Django, RESTful APIs, Flask, Java, MongoDB, Node.js Highly skilled Backend Developer committed to excellence in PHP, Django, RESTful APIs, Flask, Java, MongoDB, Node.js.","Backend Developer Django,Python Development,restapi,Python,Backend,Development,Rest,Backend Development",1
99,"Python Developer Pandas, Flask, NumPy, Data Analysis Highly skilled Python Developer committed to excellence in Pandas, Flask, NumPy, Data Analysis.","Godrej Locks | Local Area Marketing | Kolkata | AM/DM Brand Visibility,Brand Activation,event management,Trade Marketing,Exhibitions,Campaign Management,Btl Activation,Activation",0
100,"Graphic Designer InDesign, Sketch, Canva, Illustrator, Typography Goal-oriented Graphic Designer with expertise in InDesign, Sketch, Canva, Illustrator, Typography.","Aws Data Engineer with Pyspark/Python Pyspark,AWS,Python,Data",0
101,"Graphic Designer Adobe Photoshop, CorelDRAW, Web Design, UI/UX Design, Typography, Illustrator, Sketch Goal-oriented Graphic Designer with expertise in Adobe Photoshop, CorelDRAW, Web Design, UI/UX Design, Typography, Illustrator, Sketch.","Free AWS Seminar class on Wednesday @ 5:30 pm IST Pega,AWS,Mainframes,Class,PM,Free",0
102,"Test Engineer Java, API Testing, Python, JUnit, JUnit, TestNG, Selenium Test Engineer with solid background in Java, API Testing, Python, JUnit, JUnit, TestNG, Selenium and extensive experience in Cloud Computing.","Test Engineer job opening  For Multiple testing skills Automation Testing,Performance Testing,Python Testing,API Testing,Mobile Testing,Appium,Selenium Automation,DWH Testing",1
103,"Backend Developer Java, Python, Ruby, RESTful APIs, PHP, Flask, SQL Backend Developer with solid background in Java, Python, Ruby, RESTful APIs, PHP, Flask, SQL and extensive experience in Web Development.","Trade Marketing Executive Brand Activation,Trade Marketing,Brand Campaigns,Retail Marketing,Promotions,Campaigns,Branding,Brand",0
104,"Test Engineer Cypress, Python, Java, API Testing Test Engineer with solid background in Cypress, Python, Java, API Testing and extensive experience in NLP.","Marketing Manager Marketing Activities,Digital Marketing,Marketing Strategy,Brand Marketing,Digital Advertising,Marketing Budget,Digital Campaigns,Marketing Campaigns",0
105,"Backend Developer PHP, Python, MongoDB, Java, RESTful APIs A self-motivated Backend Developer who enjoys problem-solving and innovation.","Trade Marketing Executive Brand Activation,Trade Marketing,Brand Campaigns,Retail Marketing,Promotions,Campaigns,Branding,Brand",0
106,"Java Developer Maven, Hibernate, REST APIs An enthusiastic Java Developer passionate about learning and growing in the tech industry.","Influencer Marketing Executive English Language Skills,Communication Skills,Instagram Marketing,Online Advertising,Online Branding,Digital Campaigns,Marketing Campaigns,Advertising Management",0
107,"Marketing Content Marketing, SEO, Email Marketing, Social Media Management Innovative Marketing focused on pushing the boundaries in Machine Learning.","Marketing Executive Lead generation,Email marketing,Social media,Marketing campaigns,Market research,Brand awareness,SEM,SEO",1
